English,Hindi
Article 14 duties of Members of the Assembly of the Republic,प्रतिनिधि सभा के सदस्यों के कर्तव्यों के आलेख 14
1 – Members of the Assembly of the Republic have the following duties:,1 - गणराज्य के सदन के सदस्यों के पास निम्नलिखित कर्तव्य हैं:
"A) To take part in parliamentary work, and particularly to attend Plenary sittings and","संसदीय कार्य में भाग लेने के लिए, और विशेषकर संपूर्ण समिति बैठकों में शामिल होने के लिए"
Meetings of the committees to which they belong;,वह समितियों की मीटिंगें जिनमें वे शामिल हैं;
B) To perform the offices in the Assembly and the functions that they are elected or appointed to at the proposal of the respective parliamentary groups;,संसद में कार्यों का पारित करने और वे कार्य करने के लिए चुने या नियुक्त किए जाने पर संसदीय समूहों के प्रस्ताव पर।
C) To take part in voting;,मतदान में भाग लेने के लिए;
D) To ensure the indispensable contact with registered electors;,D) पंजीकृत मतदाताओं के साथ अनिवार्य संपर्क सुनिश्चित करने के लिए;
E) To respect the dignity of the Assembly of the Republic and its Members;,संसद और उसके सदस्यों की मर्यादा का सम्मान करना।
F) To comply with the Rules of Procedure of the Assembly of the Republic.,एफ) गणराज्य सभा के नियम-विधि का पालन करने के लिए।
"2 – The exercise of any other activities, when legally permissible, may not prejudice the regular","2 - किसी भी अन्य गतिविधियों का प्रयास, जब यह कानूनी रूप से संभव हो, नियमितता को हानि पहुंचा सकता है।"
Fulfilment of the duties provided for in the previous paragraph.,पिछले अनुच्छेद में दिए गए कर्तव्यों का पूरा करना।
Article 15 rights of Members of the Assembly of the Republic,संसद के सदस्यों के 15वें अनुच्छेद के अधिकार
"1 – Members of the Assembly of the Republic's absences from official acts or procedures unrelated to the Assembly, due to Assembly sittings, meetings or missions, shall be sufficient","1 - संसद के सदस्यों की अनुपस्थिति, संसद की बैठकों, मीटिंगों या मिशनों के कारण संसद से संबंधित आधिकारिक कार्यों या प्रक्रियाओं से अनुबंधित हो, वह पर्याप्त होगी।"
"Reason to postpone the said acts or procedures without cost to the Members, but these grounds","सदस्यों के बिना कोई लागत या विलंब के बिना उक्त कर्मों या प्रक्रियाओं को स्थगित करने का कारण, लेकिन ये कारण"
May not be invoked more than once in relation to each act or procedure.,प्रत्येक क्रिया या प्रक्रिया के संबंध में एक से अधिक बार आह्वान नहीं किया जा सकता।
2 – Members of the Assembly of the Republic who attend any officially recognised course at any level of education shall be subject to the most favourable of all the different regimes with regard,"2 - संसद के सदस्य जो किसी भी स्तर के शिक्षा में कोई भी पहचानी जाने वाली पाठ्यक्रम में उपस्थित हों, उन पर सभी विभिन्न नीतियों के सबसे अनुकूल किया जाएगा।"
"To classes, examinations and the taking of other academic and scientific tests that are provided","कक्षाओं, परीक्षाओं और अन्य शैक्षिक और वैज्ञानिक परीक्षणों के लिए।"
For in relation to other situations.,दूसरी स्थितियों के संदर्भ में।
3 – Members of the Assembly of the Republic also enjoy the following rights:,3 - संसद के सदस्यों को निम्नलिखित अधिकार भी प्राप्त होते हैं:
"A) postponement of military service, civic service and civil mobilisation;","सैन्य सेवा, नागrik सेवा और नागrik संगठन का अविलंब."
"B) Free transit, which is deemed to mean free passage in public places to which access is restricted, upon display of the Member of the Assembly of the Republic's identity card;","बी) मुफ्त ट्रांजिट, जिसे सार्वजनिक स्थानों में मुक्त पासेज का मतलब माना जाता है जिसमें पहुंच प्रतिबंधित है, जब गणराज्य सभा के सदस्य की पहचान पत्र प्रदर्शित किया जाए।"
"C) a diplomatic passport per legislature, to be renewed in each legislative session;","सी) प्रति विधायिका एक कूटनीतिक पासपोर्ट, प्रत्येक विधायिका सत्र में नवीनीकृत किया जाना।"
"D) a Member of the Assembly of the Republic's identity card, the model for and issue of","संसद के सदस्य की पहचान पत्र, मानचित्र और जारी करने का मॉडल"
Which shall be determined by order of the President of the Assembly; 11 11 The model and issuance of the Member of the Assembly of the Republic's identity card were laid down in Order no.,जो विधानसभा के अध्यक्ष के आदेश के अनुसार निर्धारित किया जाएगा; 11 विधानसभा के सदस्य की पहचान पत्र की मॉडल और जारी करने की व्यवस्था आदेश संख्या में की गई थी।
"94/XI of the President of the Assembly of the Republic, published in Series II ‐ e of the Journal 8","संसद के अध्यक्ष की 94/ XI की अधिसूचना, जो जर्नल 8 के श्रृंखला II - e में प्रकाशित हुई।"
E) The remunerations and allowances laid down by law;,कानून द्वारा निर्धारित वेतन और भत्ते।
F) The rights provided for in the legislation governing the protection of maternity and,गर्भावस्था और
"Paternity; g) The right to use and carry a firearm, in accordance with paragraph (7);",पितृत्व; ग) अधिनियम (7) के अनुसार एक फायरआर्म का उपयोग और ले जाने का अधिकार।
H) Priority in reservations for travel on public air transport companies during periods in,H) सार्वजनिक हवाई परिवहन कंपनियों पर यात्रा के लिए रिजर्वेशन में प्राथमिकता।
"Which the Assembly is in full session, or for reasons related to the performance of their","जिसमें सभा पूर्ण सत्र में हो, या उनके प्रदर्शन से संबंधित कारणों के लिए"
Mandate.,आदेश।
4 – In addition to the Member of the Assembly of the Republic's name and signature and the,"4 - सदन के सदस्य के नाम और हस्ताक्षर के अतिरिक्त, और"
"Signature of the President of the Assembly, the Member's identity card shall include the validity","सभा के अध्यक्ष के हस्ताक्षर, सदस्य की पहचान पत्र में वैधता शामिल होगी।"
"Date determined by the Member's term of office, together with the number of his national identity card or citizen's card.","सदस्य की कार्यकाल के आधार पर तिथि, साथ ही उसके राष्ट्रीय पहचान पत्र या नागरिक कार्ड की संख्या।"
5 – The integrated circuit of the Member of the Assembly of the Republic's identity card shall,5 - सदन के सदस्य की पहचान पत्र का एकीकृत सर्किट होगा।
"Include the software for electronic voting, together with the qualified certificate for electronic signature, and other elements that are indispensable to any new software that may be incorporated into it.","इसमें इलेक्ट्रॉनिक वोटिंग के लिए सॉफ़्टवेयर, इलेक्ट्रॉनिक हस्ताक्षर के लिए योग्य प्रमाणपत्र, और अन्य तत्व शामिल हैं जो उसमें शामिल किए जाने वाले किसी भी नए सॉफ़्टवेयर के लिए अनिवार्य हैं।"
"6 – When a Member of the Assembly of the Republic's term of office ends or is suspended, his","6 - जब संसद के सदस्य का कार्यकाल समाप्त होता है या निलंबित किया जाता है, तब उसकी"
Diplomatic passport and Member's identity card must immediately be returned to the President of the Assembly.,राजनयिक पासपोर्ट और सदस्य की पहचान पत्र को तुरंत सभा के अध्यक्ष को वापस कर देना चाहिए।
"7 – For the purposes of the rules governing the possession of, permits for, and the use and carriage of firearms and their munitions, Members of the Assembly of the Republic are subject","7 - नियमों के उद्देश्यों के लिए जिनमें बंदूकों और उनके गोला धारण के नियमों, परमिट्स और उनके उपयोग और वाहन होते हैं, गणराज्य सभा के सदस्यों के लिए लागू हैं।"
To the provisions of Article 5 of Law no.,कानून संख्या 5 के प्रावधानों के लिए।
5/2006 of 23 February 2006.,२३ फरवरी २००६ का ५/२००६।
"Article 16 allowances 1 – In the exercise of their functions and because of them, Members of the Assembly of the","राज्यसभा के सदस्यों को उनके कार्यों के प्रयोग में और उनके कारण, लाभ 16 भत्ते 1 -।"
Republic have the right to the following allowances:,गणराज्य को निम्नलिखित छूटों का अधिकार है:
A) Travel allowances during the Assembly of the Republic's parliamentary term;,गणराज्य संसद की सत्र के दौरान यात्रा भत्ता;
"B) Allowances in support of political work throughout the national territory, in",B) राष्ट्रीय क्षेत्र में राजनीतिक कार्य का समर्थन करने के लिए भत्ते।
Accordance with Article 152 (2) of the Constitution of the Portuguese Republic; C) Travel allowances for political work in constituencies.,पुर्तगाल गणराज्य के संविधान के अनुच्छेद 152 (2) के अनुसार; सी) मतदाता क्षेत्रों में राजनीतिक कार्य के लिए यात्रा भत्ते।
2 – The allowance provided for in Article 16 (1) (a) shall include an allowance for travel expenses,2 - धारा 16 (1) (ए) में प्रदान की गई भत्ता में यात्रा व्यय के लिए भत्ता शामिल होगा।
And other expense allowances.,और अन्य व्यय भत्ते।
Its allocation shall be dependent on the submission of proof of execution.,इसकी आवंटन करने की प्रक्रिया प्रमाणित करने पर निर्भर करेगी।
3 – The allowance provided for in Article 16 (1) (b) shall be determined as an overall annual amount and processed on a monthly basis.,3 - धारा 16 (1) (बी) में प्रदान की गई भत्ता एक सालाना राशि के रूप में निर्धारित की जाएगी और मासिक आधार पर प्रसंस्कृत की जाएगी।
4 – The allowance provided for in Article 16 (1) (c) shall be allocated to those Members of the assembly of the Republic with funds subject to personal income tax.,4 - धनयोजना अनुच्छेद 16 (1) (सी) में प्रदान की गई अनुमति वह विधानसभा के सदस्यों को सौंपी जाएगी जिनके पास व्यक्तिगत आयकर पर धनराशि हो।
"Of the Assembly of the Republic, no.","गणराज्य की सभा का, कोई नहीं।"
5 of 7 December 2010.,५ से ७ दिसंबर २०१०।
"However, the Assembly of the Republic's certifying Entity (ECAR) was extinguished.","हालांकि, विधान सभा की प्रमाणित करने वाली संस्था (ईसीएआर) नष्ट हो गई थी।"
"It was replaced by the Assembly of the Republic's Registration entity (ERAR) and, therefore, this order is outdated.","यह संस्थान गणराज्य सभा के पंजीकरण एकार्य (ईआरएआर) द्वारा बदल दिया गया था और, इसलिए, यह आदेश पुराना है।"
"9 5 – In the following situations arising from specific parliamentary activities, Members of the","9 5 - निर्दिष्ट संसदीय गतिविधियों से उत्पन्न निम्नलिखित परिस्थितियों में, सदस्यों को"
Assembly of the Republic shall be entitled to allowances for travel and accommodation,संसद को यात्रा और आवास के लिए भत्ते दिए जाएंगे।
"Expenses, as well as other expense allowances, subject to authorisation and proof of execution: a) Travel for political work in the case of Members who are elected for the emigrant constituencies;","व्यय, साथ ही अन्य व्यय भत्ते, अधिकृति और क्रियान्वयन के प्रमाण के अधीन: ए) प्रवास राजनीतिक कार्य के लिए सदस्यों के लिए जो प्रवासी मतदाता क्षेत्रों के लिए चुने गए हैं;"
B) Travel for institutional representation of the Assembly of the Republic; C) Travel by delegations to international bodies of which the Assembly of the Republic is,बी) संस्थानिक प्रतिनिधित्व के लिए विधान सभा की यात्रा; सी) यात्रा अंतरराष्ट्रीय संगठनों में संदूर्ण के लिए विधान सभा द्वारा।
"A member, and to parliamentary missions abroad.","एक सदस्य, और विदेश में संसदीय मिशनों के लिए।"
6 – The allowance scheme provided for in this Statute is implemented and complemented by a,इस धारा में प्रदान की गई भत्ता योजना को किया जाता है और उसे पूरा किया जाता है।
"Resolution of the Assembly of the Republic and corresponds, for all legal intents and purposes,",संसद का संकल्पन और सभी कानूनी उद्देश्यों के लिए सम्मत है।
To a special scheme resulting from the constitutional nature of the parliamentary mandate.,संवैधानिक स्वरूप के पार्लियामेंटरी जिम्मेदारी के परिणामस्वरूप एक विशेष योजना के लिए।
7 – The resolution provided for in the foregoing paragraph also regulates the terms and,7 - पूर्व अनुच्छेद में प्रदान किये गए संकल्प ने भी शर्तें और
Conditions governing the use of official vehicles by Members of the Assembly of the Republic,संसद के सदस्यों द्वारा आधिकारिक वाहनों का उपयोग करने की शर्तें।
Due to their position or parliamentary mission.,उनकी स्थिति या संसदीय मिशन के कारण।
Article 16 ‐ a expense allowances,अनुच्छेद 16 - व्यय भत्ते
1 – The expense allowances provided for in Article 16 (2) shall be those laid down in the following,"1 - धनखर्च भत्ते जो धारा 16 (2) में प्रदान किए गए हैं, वे निम्नलिखित में निर्धारित किए गए होंगे।"
"Paragraphs, without prejudice to other regulatory rules governing allowance discipline.",अनुमति अनुशासन को नियंत्रित करने वाले अन्य विनियामक नियमों के प्रभाव से परिपूर्ण होते हुए।
"2 – Members of the Assembly of the Republic residing outside the municipalities of Lisbon,",2 - विधानसभा के सदस्य जो लिस्बन के नगरपालिकाओं के बाहर निवास करते हैं।
"Odivelas shall be entitled to expense allowances established for members of the Government,",ओडीवेलास को सरकार के सदस्यों के लिए स्थापित व्यय भत्तों का हक होगा।
"Paid per each day of attendance of plenary sittings, committees or other meetings convened by the President of the Assembly of the Republic and two additional days per week.","संसद के सभासद के द्वारा बुलाए गए संपूर्ण बैठकों, समितियों या अन्य बैठकों के प्रत्येक दिन के उपस्थिति के लिए प्रतिदिन भुगतान किया जाता है और प्रति सप्ताह और दो अतिरिक्त दिन।"
"3 – Members of the Assembly of the Republic who reside in the municipalities of Lisbon, Oeiras,","3 - विधान सभा के सदस्य जो लिस्बन, ओएरास के नगर पालिकाओं में निवास करते हैं।"
"Cascais, Loures, Sintra, Vila franca de Xira, Almada, Seixal, Barreiro, Amadora and Odivelas shall be entitled to a third of the expense allowances established in the foregoing paragraph.","कासकैस, लूरेस, सिंट्रा, विला फ्रांका डे शीरा, अलमाडा, सेक्सल, बारीरो, आमाडोरा और ओदिवेलस को पूर्ववर्ती अनुच्छेद में स्थापित व्यय भत्तों का तीसरा हिस्सा होगा।"
"Article 16 ‐ b actual residence 1 – The actual residence of a Member of the Assembly of the Republic, which is relevant for","अनुच्छेद 16 - ब वास्तविक निवास 1 - गणराज्य सभा के सदस्य का वास्तविक निवास, जो कि महत्वपूर्ण है"
"Determining allowances, shall be his/her place of habitual residence in accordance with the","भत्तों का निर्धारण, उसकी/उसके स्थायी निवास की स्थिति के अनुसार होगा।"
Address recorded in the information contained in the citizen's card integrated circuit.,नागरिक कार्ड एकीकृत सर्किट में शामिल जानकारी में दर्ज पता।
2 – The relevant residence for the purpose of determining allowances allocated to Members,2 - सदस्यों को देने के लिए निर्धारित भत्ते का निर्धारण करने के लिए प्रासंगिक निवास।
"Who are elected for the emigrant constituencies, if located outside the Portuguese territory shall",अगर वे पुर्तगाली क्षेत्र के बाहर स्थित हैं तो प्रवासी मतदाता संसदीय क्षेत्रों के लिए कौन चुने जाते हैं?
"Be, during the whole mandate, the Member's stable residence on the date of the election, after",चुनाव की तारीख पर सदस्य का स्थायी निवास हो।
Certification by the relevant consular services.,संबंधित कंस्यूलर सेवाओं द्वारा प्रमाणपत्र।
"For this purpose, determining a different domicile for personal income tax purposes is irrelevant.","इस उद्देश्य के लिए, व्यक्तिगत आयकर के उद्देश्यों के लिए एक अलग निवास स्थान निर्धारित करना अनर्थक है।"
3 – Members of the Assembly of the Republic who are elected for constituencies in Portuguese,विधान सभा के सदस्य - जो पुर्तगाली में निर्वाचन क्षेत्रों के लिए चुने जाते हैं
Territory and who are residing abroad must choose a domicile within Portuguese territory for the purpose of allocating and processing allowances.,"प्रदेश और वे व्यक्ति जो विदेश में रह रहे हैं, को भत्तों का आवंटन और प्रोसेसिंग के उद्देश्य के लिए पुर्तगाली भूमि में एक निवास स्थान का चयन करना होगा।"
10,१०
Article 16 ‐ C,अनुच्छेद 16 - सी
Insurance and assistance 1 – When Members of the Assembly of the Republic are on official missions abroad they shall be entitled to life insurance in an amount to be set by the Board of Administration of the assembly.,बीमा और सहायता 1 - जब गणराज्य सभा के सदस्य स्वाधीन मिशन पर विदेश में होते हैं तो उन्हें जीवन बीमा का अधिकार होगा जिसकी रकम सभा के प्रशासन मंडल द्वारा निर्धारित की जाएगी।
"2 – Subject to a favourable written opinion from the Board of Administration of the Assembly,","2 - सभी के लिखित सुझाव पर निर्भर करेगा, सभा के प्रशासन मंडल की अनुमति के अधीन।"
The Assembly of the Republic may take out an insurance policy that covers the travel risks that,संसद का सभा यात्रा के जोखिम को कवर करने वाला एक बीमा पॉलिसी निकाल सकता है।
Members run in Portugal or as may arise from missions abroad.,सदस्य पुर्तगाल में चलाते हैं या विदेशी मिशनों से उत्पन्न हो सकते हैं।
3 – When Members of the Assembly of the Republic are on official journeys or journeys which,3 - जब गणराज्य सभा के सदस्य सरकारी यात्राओं या यात्राओं पर हों।
"The Conference of leaders deems to be of parliamentary interest, the Assembly shall bear the costs of any emergency medical assistance.","नेताओं की सम्मेलन को संसदीय महत्व माना जाता है, असेम्बली को किसी भी आपातकालीन चिकित्सा सहायता के खर्च का भुगतान करना होगा।"
Article 17,अनुच्छेद 17
Use of postal and communications services revoked.,डाक और संचार सेवाओं का उपयोग रद्द कर दिया गया।
Article 18,अनुच्छेद 18
Social security regime 1 – Members of the Assembly of the Republic shall enjoy the benefits of the general social security regime.,सामान्य सामाजिक सुरक्षा व्यवस्था 1 - गणराज्य सभा के सदस्य सामान्य सामाजिक सुरक्षा व्यवस्था के लाभ उठाएंगे।
"2 – In cases in which Members of the Assembly of the Republic opt for the social security regime applicable to their profession, the Assembly of the Republic shall bear the costs that would otherwise be borne by the employer.","2 - जिन मामलों में संसद के सदस्य अपने पेशे के लिए लागू सामाजिक सुरक्षा व्यवस्था का चयन करते हैं, उनके द्वारा जो खर्च किए जाना चाहिए, उसका उचित भुगतान करेगी संसद।"
Article 19,अनुच्छेद 19  (Article 19)
Guarantees with regard to work and social benefits,काम और सामाजिक लाभों के संबंध में गारंटी
"1 – In the exercise of their functions and because of them, Members of the Assembly of the Republic have the right to the following allowances:","1 - नियमों के अनुसार और उनके कारण, गणराज्य सभा के सदस्यों को निम्नलिखित भत्ते का अधिकार है:"
A) Travel allowances during the Assembly of the Republic's parliamentary term;,गणराज्य सभा की संसदीय कार्यकाल के दौरान यात्रा भत्ता;
"B) Allowances in support of political work throughout the national territory, in",B) राष्ट्रीय क्षेत्र में राजनीतिक कार्य के समर्थन में भत्ते।
Accordance with Article 152 (2) of the Constitution of the Portuguese Republic;,पुर्तगाल गणराज्य के संविधान के अनुच्छेद 152 (2) के अनुसार।
C) Travel allowances for political work in constituencies.,सी) चुनावी क्षेत्रों में राजनीतिक कार्य के लिए यात्रा भत्ता।
2 – The allowance provided for in Article 16 (1) (a) shall include an allowance for travel expenses,2 - धारा 16 (1) (ए) में प्रदान की जाने वाली भत्ता में यात्रा खर्च के लिए भी भत्ता शामिल होगा।
And other expense allowances.,और अन्य व्यय भत्ते।
Its allocation shall be dependent on the submission of proof of execution.,इसका आवंटन क्रियान्वयन के सबूत सबमिशन पर निर्भर करेगा।
3 – The allowance provided for in Article 16 (1) (b) shall be determined as an overall annual amount and processed on a monthly basis.,माध्यमिक शिक्षा योजना 2000 के अनुच्छेद 16 (1) (बी) में प्रदान की गई भत्ता एक सालाना राशि के रूप में निर्धारित की जाएगी और मासिक आधार पर प्रसंस्कृत की जाएगी।
4 – The allowance provided for in Article 16 (1) (c) shall be allocated to those Members of the assembly of the Republic with funds subject to personal income tax.,4 - धन 16 (1) (क) में प्रदान की गई भत्ता वह विधान सभा के सदस्यों को नियत व्यक्तिगत आयकर परिस्थितियों के अधीन धनराशि के साथ समर्पित की जाएगी।
"Of the Assembly of the Republic, no.","संसद का, कोई नहीं।"
5 of 7 December 2010.,५ से ७ दिसंबर २०१०।
"However, the Assembly of the Republic's certifying Entity (ECAR) was extinguished.","हालांकि, गणराज्य सभा की प्रमाणित संस्था (ईसीएआर) को समाप्त कर दिया गया था।"
"It was replaced by the Assembly of the Republic's Registration entity (ERAR) and, therefore, this order is outdated.","यह संसद के पंजीकरण संस्थान (ERAR) द्वारा बदल दिया गया था और, इसलिए, यह आदेश पुराना हो गया है।"
9,नौ
"5 – In the following situations arising from specific parliamentary activities, Members of the","5 - विशिष्ट संसदीय गतिविधियों से उत्पन्न निम्नलिखित परिस्थितियों में, सदस्यों की"
Assembly of the Republic shall be entitled to allowances for travel and accommodation,संसद को यात्रा और आवास के लिए भत्ते दिए जाएंगे।
"Expenses, as well as other expense allowances, subject to authorisation and proof of execution: a) Travel for political work in the case of Members who are elected for the emigrant constituencies;","व्यय, साथ ही अन्य व्यय भत्तों को अधिकृति और क्रियान्वयन के प्रमाण के अधीन रखा गया है: ए) प्रवास राजनीतिक कार्य के लिए जो सदस्य विदेशी क्षेत्रों के लिए निर्वाचित होते हैं के मामले में।"
B) Travel for institutional representation of the Assembly of the Republic;,विधान सभा की संस्थागत प्रतिनिधित्व के लिए यात्रा।
"C) Travel by delegations to international bodies of which the Assembly of the Republic is a member, and to parliamentary missions abroad.","सी) विश्व के आंतर्राष्ट्रीय संगठनों के पास यात्रा, जिनमें संसद की सभा सदस्य है, और विदेशी सांसदीय मिशनों के लिए।"
6 – The allowance scheme provided for in this Statute is implemented and complemented by a,6 - इस संविधान में प्रदान की गई भत्ता योजना को क्रियान्वित किया जाता है और उसे पूरा करने के लिए कुछ
"Resolution of the Assembly of the Republic and corresponds, for all legal intents and purposes,","संसद की संकल्पना और उसका समाधान, सभी कानूनी उद्देश्यों और उद्देश्यों के लिए संबंधित है।"
7 – The resolution provided for in the foregoing paragraph also regulates the terms and conditions governing the use of official vehicles by Members of the Assembly of the Republic due to their position or parliamentary mission.,7 - पिछले अनुच्छेद में प्रदान किए गए संकल्पना द्वारा संसद के सदस्यों द्वारा आधिकारिक वाहनों का उपयोग करने के लिए शर्तों और स्थितियों को भी नियंत्रित करता है जो उनके पद या संसदीय मिशन के कारण गणराज्य सभा के सदस्यों द्वारा।
Article 16 ‐ a expense allowances,अनुच्छेद 16 - व्यय भत्ते
1 – The expense allowances provided for in Article 16 (2) shall be those laid down in the following,1 - धनखर्च भत्ता धारा 16 (2) में प्रावधानित वही होंगे जो निम्नलिखित में निर्धारित किए गए हैं।
"Paragraphs, without prejudice to other regulatory rules governing allowance discipline.",अनुमति नियमों को विधियों के नियम के बिना अनुशासन को नियंत्रित करने के लिए।
"2 – Members of the Assembly of the Republic residing outside the municipalities of Lisbon,",2 - लिस्बन के नगरपालिकाओं के बाहर निवास करने वाले गणराज्य सभा के सदस्य।
"Odivelas shall be entitled to expense allowances established for members of the Government,",ओडिवेलास सरकार के सदस्यों के लिए स्थापित व्यय भत्तों का अधिकारी होगा।
"Paid per each day of attendance of plenary sittings, committees or other meetings convened by the President of the Assembly of the Republic and two additional days per week.",विधानसभा के अध्यक्ष द्वारा बुलाई गई पूर्ण समितियों या अन्य बैठकों में उपस्थिति के प्रत्येक दिन के लिए भुगतान किया जाता है और प्रति सप्ताह दो अतिरिक्त दिन।
"3 – Members of the Assembly of the Republic who reside in the municipalities of Lisbon, Oeiras,","3 - लिस्बन, ओयरास सहित गणराज्य सभा के सदस्य जो नगरपालिकाओं में निवास करते हैं।"
"Cascais, Loures, Sintra, Vila franca de Xira, Almada, Seixal, Barreiro, Amadora and Odivelas shall be entitled to a third of the expense allowances established in the foregoing paragraph.","कासकैस, लोरेस, सिंट्रा, विला फ्रांका डे शीरा, अलमाडा, सेक्सल, बारेरो, अमाडोरा और ओडिवेलास को पूर्व अनुच्छेद में स्थापित व्यय भत्तों का तीसरा हिस्सा हकदार होगा।"
Article 16 ‐ b actual residence,अनुच्छेद 16 - ब वास्थित निवास
"1 – The actual residence of a Member of the Assembly of the Republic, which is relevant for","1 - संसद के सदस्य का वास्थान, जो महत्वपूर्ण है, वास्थानिक है।"
"Determining allowances, shall be his/her place of habitual residence in accordance with the","भत्तों की निर्धारण, उसके/उसकी सामान्य निवास स्थान के अनुसार होगा।"
Address recorded in the information contained in the citizen's card integrated circuit.,नागरिक कार्ड एकीकृत सर्किट में शामिल जानकारी में रजिस्टर्ड पता।
2 – The relevant residence for the purpose of determining allowances allocated to Members,2 - सदस्यों को आवंटित भत्तों की निर्धारण के उद्देश्य से संबंधित निवास
"Who are elected for the emigrant constituencies, if located outside the Portuguese territory shall be, during the whole mandate, the Member's stable residence on the date of the election, after certification by the relevant consular services.","जो व्यक्ति प्रवासी निर्वाचन क्षेत्रों के लिए चुने जाते हैं, अगर पुर्तगाल के क्षेत्र के बाहर स्थित हैं, तो पूरे कार्यकाल के दौरान, चुनाव की तारीख पर सदस्य का स्थायी निवास होगा, संबंधित कंसलर सेवाओं द्वारा प्रमाणित करने के बाद।"
"For this purpose, determining a different domicile","इस उद्देश्य के लिए, एक अलग निवासस्थान निर्धारित करना।"
For personal income tax purposes is irrelevant.,व्यक्तिगत आयकर के उद्देश्यों के लिए अमायनी है।
3 – Members of the Assembly of the Republic who are elected for constituencies in Portuguese,3 - विधान सभा के सदस्य जो पुर्तगाली में चुने गए हैं।
Territory and who are residing abroad must choose a domicile within Portuguese territory for the purpose of allocating and processing allowances.,"प्रदेश और वे जो विदेश में निवास कर रहे हैं, को पोर्चुगीज़ क्षेत्र में एक स्थायी निवास का चयन करना चाहिए जिसका उद्देश्य भत्तों का आवंटन और प्रसंस्करण करना है।"
10 Article 16 ‐ C insurance and assistance,१० अनुच्छेद १६ - सी बीमा और सहायता
1 – When Members of the Assembly of the Republic are on official missions abroad they shall be entitled to life insurance in an amount to be set by the Board of Administration of the assembly.,1 - जब गणराज्य सभा के सदस्य विदेश में आधिकारिक मिशन पर होते हैं तो उन्हें सभा के प्रशासन बोर्ड द्वारा तय की जाने वाली राशि में जीवन बीमा का अधिकार होगा।
"2 – Subject to a favourable written opinion from the Board of Administration of the Assembly,",2 - सभा के प्रशासन की बोर्ड से एक सकारात्मक लिखित राय के अधीन।
The Assembly of the Republic may take out an insurance policy that covers the travel risks that,संसद की सभा एक बीमा पॉलिसी ले सकती है जो यात्रा के खतरों को कवर करती है।
Members run in Portugal or as may arise from missions abroad.,सदस्य पुर्तगाल में चलते हैं या विदेश में किसी मिशन से उत्पन्न हो सकते हैं।
3 – When Members of the Assembly of the Republic are on official journeys or journeys which,3 - जब गणराज्य सभा के सदस्य आधिकारिक यात्राओं पर हों या यात्राओं पर हों जो
"The Conference of leaders deems to be of parliamentary interest, the Assembly shall bear the costs of any emergency medical assistance.","नेताओं की सम्मेलन को संसदीय महत्व माना जाता है, तो सभाना इसे किसी भी आपातकालीन चिकित्सा सहायता के खर्च का बोझ उठाना होगा।"
Article 17 use of postal and communications services revoked.,अनुच्छेद 17 पोस्टल और संचार सेवाओं का उपयोग निरस्त किया गया।
Article 18,अनुच्छेद 18
Social security regime,सामाजिक सुरक्षा प्रणाली
1 – Members of the Assembly of the Republic shall enjoy the benefits of the general social security regime.,गणराज्य सभा के सदस्य सामान्य सामाजिक सुरक्षा प्रणाली के लाभ का आनंद उठा सकते हैं।
2 – In cases in which Members of the Assembly of the Republic opt for the social security regime,2 - जिन मेंबर्स ऑफ द असेंबली ऑफ द रिपब्लिक ऑप्ट फॉर द सोशल सिक्योरिटी रेजीम के लिए मामलों में।
"Applicable to their profession, the Assembly of the Republic shall bear the costs that would otherwise be borne by the employer.",वे सभी व्यवसाय से संबंधित खर्चों की जिम्मेदारी उस कारण से संसद को उठानी चाहिए जो वर्निशक के द्वारा उठाया जाता है।
Article 19,[Translation Failed]
Guarantees with regard to work and social benefits,[Translation Failed]
1 – Members of the Assembly of the Republic may not be prejudiced in their professional,[Translation Failed]
"Assignments, social benefits or permanent employment due to the fulfilment of their mandate.",[Translation Failed]
2 – Members of the Assembly of the Republic have the right to be dispensed from all,[Translation Failed]
"Professional, public and private activities during the legislature.",[Translation Failed]
"3 – Fulfilment of the mandate shall count towards length of service for all purposes, save those",[Translation Failed]
"That presuppose the actual exercise of a profession, without prejudice to the provisions of Article 5 (4).",[Translation Failed]
"4 – In the case of a function that is temporary by law or by contract, fulfilment of a Member of the Assembly of the Republic's mandate shall suspend the counting of the respective time period.",[Translation Failed]
Article 20 incompatibilities,[Translation Failed]
"1 – The following positions and functions are incompatible with the exercise of the mandate of Member of the Assembly of the Republic: a) President of the Republic, member of the Government, and Representative of the",[Translation Failed]
Republic to an Autonomous Region;,[Translation Failed]
"11 b) Member of the Constitutional Court, the Supreme Court of Justice, the Supreme",[Translation Failed]
"Administrative Court, the Court of Audit, the Supreme Judicial Council, the Supreme",[Translation Failed]
"Council of the Administrative and Fiscal Courts, attorney General, and Ombudsman;",[Translation Failed]
C) Member of the European Parliament;,[Translation Failed]
D) Member of the self ‐ government organs of Autonomous Regions;,[Translation Failed]
"E) Ambassador, unless the Member of the Assembly of the Republic is a career Diplomat;",[Translation Failed]
F) Civil Governor and Deputy Civil Governor;,[Translation Failed]
"G) Mayor, deputy Mayor, legal substitute for the Mayor, and municipal Councillor, either",[Translation Failed]
Full ‐ or part ‐ time;,[Translation Failed]
H) Employee of the state or another public legal person;,[Translation Failed]
I) Member of the National Electoral Commission;,[Translation Failed]
J) Member of a ministerial office or legally equivalent position;,[Translation Failed]
