English,German
2 – Members of the Assembly of the Republic who attend any officially recognised course at any level of education shall be subject to the most favourable of all the different regimes with regard,"2 - Mitglieder der Versammlung der Republik, die einen offiziell anerkannten Kurs auf jeder Bildungsebene besuchen, unterliegen dem günstigsten aller verschiedenen Regime in Bezug darauf."
"To classes, examinations and the taking of other academic and scientific tests that are provided","Zu Vorlesungen, Prüfungen und dem Absolvieren anderer akademischer und wissenschaftlicher Tests, die angeboten werden."
For in relation to other situations.,In Bezug auf andere Situationen.
3 – Members of the Assembly of the Republic also enjoy the following rights:,Mitglieder der Versammlung der Republik haben auch folgende Rechte:
"A) postponement of military service, civic service and civil mobilisation;","Aufschub des Militärdienstes, des Zivildienstes und der zivilen Mobilmachung;"
"B) Free transit, which is deemed to mean free passage in public places to which access is restricted, upon display of the Member of the Assembly of the Republic's identity card;","B) Freier Transit, der als freie Durchfahrt in öffentlichen Bereichen angesehen wird, zu denen der Zugang beschränkt ist, gegen Vorlage der Identitätskarte des Mitglieds der Versammlung der Republik."
"C) a diplomatic passport per legislature, to be renewed in each legislative session;","C) Ein diplomatischer Reisepass pro Legislaturperiode, der in jeder Legislaturperiode erneuert werden muss."
"D) a Member of the Assembly of the Republic's identity card, the model for and issue of","D) ein Identitätsausweis eines Mitglieds der Versammlung der Republik, das Modell für und die Ausgabe von"
Which shall be determined by order of the President of the Assembly; 11 11 The model and issuance of the Member of the Assembly of the Republic's identity card were laid down in Order no.,Welche durch Anordnung des Präsidenten der Versammlung festgelegt werden soll; Das Modell und die Ausgabe der Identitätskarte des Mitglieds der Versammlung der Republik wurden in der Anordnung Nr. festgelegt.
"94/XI of the President of the Assembly of the Republic, published in Series II ‐ e of the Journal 8","94/XI des Präsidenten der Versammlung der Republik, veröffentlicht in Serie II - e des Journals 8."
E) The remunerations and allowances laid down by law;,E) Die gesetzlich festgelegten Vergütungen und Zulagen;
F) The rights provided for in the legislation governing the protection of maternity and,"F) Die Rechte, die in den Gesetzen zum Schutz der Mutterschaft vorgesehen sind,"
"Paternity; g) The right to use and carry a firearm, in accordance with paragraph (7);","Vaterschaft; g) Das Recht, gemäß Absatz (7) eine Schusswaffe zu benutzen und zu tragen;"
H) Priority in reservations for travel on public air transport companies during periods in,deren Reservierungen für Reisen mit öffentlichen Luftverkehrsgesellschaften während bestimmter Zeiträume priorisiert werden.
"Which the Assembly is in full session, or for reasons related to the performance of their",Wenn die Versammlung in voller Sitzung ist oder aus Gründen im Zusammenhang mit der Ausführung ihrer
Mandate.,Mandat.
4 – In addition to the Member of the Assembly of the Republic's name and signature and the,4 - Neben dem Namen und der Unterschrift des Mitglieds der Versammlung der Republik sowie der
"Signature of the President of the Assembly, the Member's identity card shall include the validity","Unterschrift des Präsidenten der Versammlung, die Identitätskarte des Mitglieds soll die Gültigkeit enthalten."
"Date determined by the Member's term of office, together with the number of his national identity card or citizen's card.","Datum, das durch die Amtszeit des Mitglieds bestimmt wird, zusammen mit der Nummer seines Personalausweises oder Bürgerschaftsausweises."
5 – The integrated circuit of the Member of the Assembly of the Republic's identity card shall,5 - Der integrierte Schaltkreis des Personalausweises des Mitglieds der Versammlung der Republik soll
"Include the software for electronic voting, together with the qualified certificate for electronic signature, and other elements that are indispensable to any new software that may be incorporated into it.","Fügen Sie die Software für die elektronische Abstimmung zusammen mit dem qualifizierten Zertifikat für die elektronische Signatur und anderen Elementen hinzu, die für jede neue Software unerlässlich sind, die darin integriert werden kann."
"6 – When a Member of the Assembly of the Republic's term of office ends or is suspended, his","6 - Wenn die Amtszeit eines Mitglieds der Versammlung der Republik endet oder ausgesetzt wird, seine"
Diplomatic passport and Member's identity card must immediately be returned to the President of the Assembly.,Diplomatischer Reisepass und Mitgliedsausweis müssen umgehend an den Präsidenten der Versammlung zurückgegeben werden.
"7 – For the purposes of the rules governing the possession of, permits for, and the use and carriage of firearms and their munitions, Members of the Assembly of the Republic are subject","7 - Für die Zwecke der Regeln, die den Besitz, die Genehmigungen für und den Gebrauch und Transport von Schusswaffen und Munition regeln, unterliegen die Mitglieder der Versammlung der Republik."
To the provisions of Article 5 of Law no.,Zu den Bestimmungen des Artikels 5 des Gesetzes Nr.
5/2006 of 23 February 2006.,5/2006 vom 23. Februar 2006.
"Article 16 allowances 1 – In the exercise of their functions and because of them, Members of the Assembly of the",Article 16 Zulagen 1 - Bei der Ausübung ihrer Funktionen und aufgrund derselben erhalten Mitglieder der Versammlung der
Republic have the right to the following allowances:,Die Republik hat Anspruch auf folgende Zulagen:
A) Travel allowances during the Assembly of the Republic's parliamentary term;,Reisekostenzuschüsse während der Amtszeit des Parlaments der Republik;
"B) Allowances in support of political work throughout the national territory, in","B) Zuschüsse zur Unterstützung politischer Arbeit im gesamten Bundesgebiet, in"
Accordance with Article 152 (2) of the Constitution of the Portuguese Republic; C) Travel allowances for political work in constituencies.,Gemäß Artikel 152 Absatz 2 der Verfassung der Portugiesischen Republik; C) Reisekostenzuschüsse für politische Arbeit in Wahlkreisen.
2 – The allowance provided for in Article 16 (1) (a) shall include an allowance for travel expenses,2 - Die in Artikel 16 Absatz 1 Buchstabe a vorgesehene Zulage umfasst eine Zulage für Reisekosten.
And other expense allowances.,Und andere Spesenpauschalen.
Its allocation shall be dependent on the submission of proof of execution.,Die Zuweisung erfolgt abhängig von der Vorlage des Nachweises der Durchführung.
3 – The allowance provided for in Article 16 (1) (b) shall be determined as an overall annual amount and processed on a monthly basis.,3 - Die in Artikel 16 Absatz 1 Buchstabe b vorgesehene Vergütung wird als Gesamtbetrag pro Jahr festgelegt und monatlich verarbeitet.
4 – The allowance provided for in Article 16 (1) (c) shall be allocated to those Members of the assembly of the Republic with funds subject to personal income tax.,"4 - Der in Artikel 16 (1) (c) vorgesehene Zuschuss wird den Mitgliedern der Versammlung der Republik mit Mitteln zugewiesen, die der Einkommensteuer unterliegen."
"Of the Assembly of the Republic, no.","Von der Versammlung der Republik, Nr."
5 of 7 December 2010.,5. bis 7. Dezember 2010.
"However, the Assembly of the Republic's certifying Entity (ECAR) was extinguished.",Allerdings wurde das Zertifizierungsorgan der Versammlung der Republik (ECAR) aufgelöst.
"It was replaced by the Assembly of the Republic's Registration entity (ERAR) and, therefore, this order is outdated.",Es wurde durch die Registrierungsstelle der Versammlung der Republik (ERAR) ersetzt und ist daher veraltet.
"9 5 – In the following situations arising from specific parliamentary activities, Members of the","9 5 - In den folgenden Situationen, die aus spezifischen parlamentarischen Aktivitäten entstehen, sind Mitglieder des"
Assembly of the Republic shall be entitled to allowances for travel and accommodation,Die Versammlung der Republik hat Anspruch auf Reise- und Unterkunftspauschalen.
"Expenses, as well as other expense allowances, subject to authorisation and proof of execution: a) Travel for political work in the case of Members who are elected for the emigrant constituencies;","Ausgaben sowie andere Ausgabenpauschalen, die der Genehmigung und dem Nachweis der Durchführung unterliegen: a) Reisen für politische Arbeit im Falle von Mitgliedern, die für die Auslands-Wahlkreise gewählt wurden;"
B) Travel for institutional representation of the Assembly of the Republic; C) Travel by delegations to international bodies of which the Assembly of the Republic is,"B) Reisen zur institutionellen Vertretung der Versammlung der Republik; C) Reisen von Delegationen zu internationalen Gremien, an denen die Versammlung der Republik beteiligt ist."
"A member, and to parliamentary missions abroad.",Ein Mitglied und zu parlamentarischen Missionen im Ausland.
6 – The allowance scheme provided for in this Statute is implemented and complemented by a,6 - Das im Statut vorgesehene Zulagensystem wird umgesetzt und ergänzt durch eine
"Resolution of the Assembly of the Republic and corresponds, for all legal intents and purposes,",Resolution der Versammlung der Republik und entspricht für alle rechtlichen Zwecke und Absichten.
To a special scheme resulting from the constitutional nature of the parliamentary mandate.,"Zu einem besonderen Schema, das sich aus der verfassungsmäßigen Natur des parlamentarischen Mandats ergibt."
7 – The resolution provided for in the foregoing paragraph also regulates the terms and,conditions for terminating the agreement.
Conditions governing the use of official vehicles by Members of the Assembly of the Republic,Bedingungen für die Nutzung von Dienstfahrzeugen durch Mitglieder der Nationalversammlung
Due to their position or parliamentary mission.,Aufgrund ihrer Position oder parlamentarischen Aufgabe.
Article 16 ‐ a expense allowances,Artikel 16 - Ausgabenpauschale
1 – The expense allowances provided for in Article 16 (2) shall be those laid down in the following,1 - Die Ausgabenpauschalen gemäß Artikel 16 Absatz 2 sind die in folgenden festgelegten.
"Paragraphs, without prejudice to other regulatory rules governing allowance discipline.","Absätze, ohne Beeinträchtigung anderer regulatorischer Regeln, die die Zulagendisziplin regeln."
"2 – Members of the Assembly of the Republic residing outside the municipalities of Lisbon,","2 - Mitglieder der Versammlung der Republik, die außerhalb der Gemeinden von Lissabon wohnen,"
"Odivelas shall be entitled to expense allowances established for members of the Government,",Odivelas hat Anspruch auf die für Regierungsmitglieder festgelegten Ausgabenpauschalen.
"Paid per each day of attendance of plenary sittings, committees or other meetings convened by the President of the Assembly of the Republic and two additional days per week.","Bezahlt pro Tag der Teilnahme an Vollversammlungen, Ausschüssen oder anderen Sitzungen, die vom Präsidenten der Nationalversammlung einberufen wurden, sowie zwei zusätzliche Tage pro Woche."
"3 – Members of the Assembly of the Republic who reside in the municipalities of Lisbon, Oeiras,","3 - Mitglieder der Versammlung der Republik, die in den Gemeinden Lissabon, Oeiras,"
"Cascais, Loures, Sintra, Vila franca de Xira, Almada, Seixal, Barreiro, Amadora and Odivelas shall be entitled to a third of the expense allowances established in the foregoing paragraph.","Cascais, Loures, Sintra, Vila Franca de Xira, Almada, Seixal, Barreiro, Amadora und Odivelas haben Anspruch auf ein Drittel der im vorherigen Absatz festgelegten Ausgabenpauschalen."
"Article 16 ‐ b actual residence 1 – The actual residence of a Member of the Assembly of the Republic, which is relevant for","Artikel 16 - b tatsächlicher Wohnsitz 1 - Der tatsächliche Wohnsitz eines Mitglieds der Versammlung der Republik, der relevant ist für"
"Determining allowances, shall be his/her place of habitual residence in accordance with the",Die Bestimmung von Zulagen erfolgt gemäß seinem/ihrer gewöhnlichen Aufenthaltsort.
Address recorded in the information contained in the citizen's card integrated circuit.,"Adresse, die in den Informationen enthalten ist, die im integrierten Schaltkreis der Bürgerkarte gespeichert sind."
2 – The relevant residence for the purpose of determining allowances allocated to Members,2 - Der maßgebliche Wohnsitz zur Bestimmung der den Mitgliedern zugewiesenen Zulagen
"Who are elected for the emigrant constituencies, if located outside the Portuguese territory shall","Wer wird für die Auswanderungswähler gewählt, wenn sie sich außerhalb des portugiesischen Territoriums befinden?"
"Be, during the whole mandate, the Member's stable residence on the date of the election, after","Sei, während des gesamten Mandats, der stabile Wohnsitz des Mitglieds am Tag der Wahl."
Certification by the relevant consular services.,Zertifizierung durch die entsprechenden konsularischen Dienste.
"For this purpose, determining a different domicile for personal income tax purposes is irrelevant.","Zu diesem Zweck ist es unerheblich, einen anderen Wohnsitz für steuerliche Zwecke des persönlichen Einkommens festzulegen."
3 – Members of the Assembly of the Republic who are elected for constituencies in Portuguese,"3 - Mitglieder der Versammlung der Republik, die für Wahlkreise in Portugal gewählt werden."
Territory and who are residing abroad must choose a domicile within Portuguese territory for the purpose of allocating and processing allowances.,"Personen, die im Ausland leben und ihren Wohnsitz in Portugal haben, müssen einen Wohnsitz innerhalb des portugiesischen Gebiets wählen, um Zulagen zuzuweisen und zu bearbeiten."
10,10
Article 16 ‐ C,Artikel 16 - C
Insurance and assistance 1 – When Members of the Assembly of the Republic are on official missions abroad they shall be entitled to life insurance in an amount to be set by the Board of Administration of the assembly.,"Versicherung und Unterstützung 1 - Wenn Mitglieder der Nationalversammlung auf offiziellen Missionen im Ausland sind, haben sie Anspruch auf eine Lebensversicherung in Höhe, die vom Verwaltungsrat der Versammlung festgelegt wird."
"2 – Subject to a favourable written opinion from the Board of Administration of the Assembly,",2 - Vorbehaltlich einer günstigen schriftlichen Stellungnahme des Verwaltungsrates der Versammlung.
The Assembly of the Republic may take out an insurance policy that covers the travel risks that,"Die Versammlung der Republik kann eine Versicherung abschließen, die Reiserisiken abdeckt."
Members run in Portugal or as may arise from missions abroad.,Mitglieder betreiben in Portugal oder wie sich aus Missionen im Ausland ergeben kann.
3 – When Members of the Assembly of the Republic are on official journeys or journeys which,"3 - Wenn Mitglieder der Versammlung der Republik auf offiziellen Reisen oder Reisen sind, die"
"The Conference of leaders deems to be of parliamentary interest, the Assembly shall bear the costs of any emergency medical assistance.","Die Konferenz der Führungskräfte hält es für parlamentarisch interessant, dass die Versammlung die Kosten für jegliche notfallmedizinische Hilfe trägt."
Article 17,Artikel 17
Use of postal and communications services revoked.,Die Nutzung von Post- und Kommunikationsdiensten wurde widerrufen.
Article 18,Artikel 18
Social security regime 1 – Members of the Assembly of the Republic shall enjoy the benefits of the general social security regime.,Sozialversicherungsregime 1 - Die Mitglieder der Nationalversammlung genießen die Vorteile des allgemeinen Sozialversicherungsregimes.
"2 – In cases in which Members of the Assembly of the Republic opt for the social security regime applicable to their profession, the Assembly of the Republic shall bear the costs that would otherwise be borne by the employer.","2 - In Fällen, in denen Mitglieder der Versammlung der Republik sich für das Sozialversicherungssystem entscheiden, das für ihren Beruf gilt, trägt die Versammlung der Republik die Kosten, die normalerweise vom Arbeitgeber getragen würden."
Article 19,Artikel 19
Guarantees with regard to work and social benefits,Garantien in Bezug auf Arbeit und soziale Leistungen
"1 – In the exercise of their functions and because of them, Members of the Assembly of the Republic have the right to the following allowances:",1 - Bei der Ausübung ihrer Funktionen und aufgrund derselben haben die Mitglieder der Nationalversammlung das Recht auf folgende Zulagen:
A) Travel allowances during the Assembly of the Republic's parliamentary term;,Reisekostenzuschüsse während der parlamentarischen Amtszeit der Nationalversammlung;
"B) Allowances in support of political work throughout the national territory, in",) Zulagen zur Unterstützung politischer Arbeit im gesamten Staatsgebiet.
Accordance with Article 152 (2) of the Constitution of the Portuguese Republic;,Gemäß Artikel 152 (2) der Verfassung der Portugiesischen Republik;
C) Travel allowances for political work in constituencies.,C) Reisekostenzuschüsse für politische Arbeit in Wahlkreisen.
2 – The allowance provided for in Article 16 (1) (a) shall include an allowance for travel expenses,2 - Die im Artikel 16 Absatz 1 Buchstabe a vorgesehene Zulage umfasst eine Zulage für Reisekosten.
And other expense allowances.,Und andere Ausgabenpauschalen.
Its allocation shall be dependent on the submission of proof of execution.,Die Zuteilung erfolgt abhängig von der Vorlage des Nachweises der Ausführung.
3 – The allowance provided for in Article 16 (1) (b) shall be determined as an overall annual amount and processed on a monthly basis.,3 - Der in Artikel 16 Absatz 1 Buchstabe b vorgesehene Zuschuss wird als Gesamtbetrag pro Jahr festgelegt und monatlich bearbeitet.
4 – The allowance provided for in Article 16 (1) (c) shall be allocated to those Members of the assembly of the Republic with funds subject to personal income tax.,"4 - Die in Artikel 16 Absatz 1 Buchstabe c vorgesehene Zulage wird jenen Mitgliedern der Versammlung der Republik zugeteilt, die Einkommensteuerpflichtig sind."
"Of the Assembly of the Republic, no.","Von der Versammlung der Republik, Nr."
5 of 7 December 2010.,5. bis 7. Dezember 2010.
"However, the Assembly of the Republic's certifying Entity (ECAR) was extinguished.",Allerdings wurde das Zertifizierungsorgan der Nationalversammlung (ECAR) aufgelöst.
"It was replaced by the Assembly of the Republic's Registration entity (ERAR) and, therefore, this order is outdated.","Es wurde durch die Registrierungsstelle der Nationalversammlung (ERAR) ersetzt, daher ist dieser Beschluss veraltet."
9,9
"5 – In the following situations arising from specific parliamentary activities, Members of the","5 - In den folgenden Situationen, die aus spezifischen parlamentarischen Aktivitäten resultieren, sind Mitglieder des"
Assembly of the Republic shall be entitled to allowances for travel and accommodation,Die Versammlung der Republik hat Anspruch auf Reise- und Unterkunftskosten.
"Expenses, as well as other expense allowances, subject to authorisation and proof of execution: a) Travel for political work in the case of Members who are elected for the emigrant constituencies;","Ausgaben sowie andere Ausgabenpauschalen, die der Genehmigung und dem Nachweis der Durchführung unterliegen: a) Reisen für politische Arbeit im Falle von Mitgliedern, die für die ausländischen Wahlkreise gewählt werden;"
B) Travel for institutional representation of the Assembly of the Republic;,B) Reisen zur institutionellen Vertretung der Versammlung der Republik;
"C) Travel by delegations to international bodies of which the Assembly of the Republic is a member, and to parliamentary missions abroad.","C) Reisen von Delegationen zu internationalen Gremien, von denen die Versammlung der Republik Mitglied ist, und zu parlamentarischen Missionen im Ausland."
6 – The allowance scheme provided for in this Statute is implemented and complemented by a,6 - Das im Statut vorgesehene Zulagensystem wird durchgeführt und ergänzt von einer
"Resolution of the Assembly of the Republic and corresponds, for all legal intents and purposes,",Beschluss der Vollversammlung der Republik und entspricht für alle rechtlichen Zwecke und Absichten.
7 – The resolution provided for in the foregoing paragraph also regulates the terms and conditions governing the use of official vehicles by Members of the Assembly of the Republic due to their position or parliamentary mission.,7 - Die in dem vorstehenden Absatz vorgesehene Regelung regelt auch die Bedingungen für die Nutzung von Dienstfahrzeugen durch Mitglieder der Nationalversammlung aufgrund ihrer Funktion oder parlamentarischen Mission.
Article 16 ‐ a expense allowances,Artikel 16 - Aufwandsentschädigungen
1 – The expense allowances provided for in Article 16 (2) shall be those laid down in the following,1 - Die Ausgabenpauschalen gemäß Artikel 16 Absatz 2 sind in den folgenden festgelegt.
"Paragraphs, without prejudice to other regulatory rules governing allowance discipline.","Absätze, ohne Beeinträchtigung anderer regulatorischer Vorschriften zur Regelung der Zulagen-Disziplin."
"2 – Members of the Assembly of the Republic residing outside the municipalities of Lisbon,","2 - Mitglieder der Versammlung der Republik, die außerhalb der Gemeinden Lissabons ansässig sind."
"Odivelas shall be entitled to expense allowances established for members of the Government,",Odivelas hat Anspruch auf die festgelegten Aufwandsentschädigungen für Mitglieder der Regierung.
"Paid per each day of attendance of plenary sittings, committees or other meetings convened by the President of the Assembly of the Republic and two additional days per week.","Bezahlt pro jeden Tag der Teilnahme an Plenarsitzungen, Ausschüssen oder anderen Sitzungen, die vom Präsidenten der Nationalversammlung einberufen werden, sowie zwei zusätzliche Tage pro Woche."
"3 – Members of the Assembly of the Republic who reside in the municipalities of Lisbon, Oeiras,","3 - Mitglieder der Versammlung der Republik, die in den Gemeinden Lissabon, Oeiras,"
"Cascais, Loures, Sintra, Vila franca de Xira, Almada, Seixal, Barreiro, Amadora and Odivelas shall be entitled to a third of the expense allowances established in the foregoing paragraph.","Cascais, Loures, Sintra, Vila Franca de Xira, Almada, Seixal, Barreiro, Amadora und Odivelas haben Anspruch auf ein Drittel der im vorherigen Absatz festgelegten Ausgabenpauschalen."
Article 16 ‐ b actual residence,Artikel 16 - b tatsächlicher Wohnsitz
"1 – The actual residence of a Member of the Assembly of the Republic, which is relevant for","1 - Der tatsächliche Wohnsitz eines Mitglieds der Versammlung der Republik, der relevant ist für"
"Determining allowances, shall be his/her place of habitual residence in accordance with the",Bestimmung von Zulagen erfolgt gemäß seinem/ihrem gewöhnlichen Aufenthaltsort entsprechend der
Address recorded in the information contained in the citizen's card integrated circuit.,"Adresse, die in den Informationen enthalten ist, die im integrierten Schaltkreis der Bürgerkarte aufgezeichnet sind."
2 – The relevant residence for the purpose of determining allowances allocated to Members,2 - Der maßgebliche Wohnsitz zur Bestimmung der Mitgliedern zugewiesenen Zulagen
"Who are elected for the emigrant constituencies, if located outside the Portuguese territory shall be, during the whole mandate, the Member's stable residence on the date of the election, after certification by the relevant consular services.","Wer in den Wahlkreisen für Auswanderer gewählt wird, die sich außerhalb des portugiesischen Territoriums befinden, muss während des gesamten Mandats seinen festen Wohnsitz an dem Tag haben, an dem die Wahl stattfindet, nach Bestätigung durch die zuständigen Konsulardienste."
"For this purpose, determining a different domicile",Zu diesem Zweck die Bestimmung eines anderen Wohnsitzes
For personal income tax purposes is irrelevant.,Für die persönliche Einkommensteuer ist dies irrelevant.
3 – Members of the Assembly of the Republic who are elected for constituencies in Portuguese,"3 - Mitglieder der Versammlung der Republik, die für Wahlkreise in Portugal gewählt werden"
Territory and who are residing abroad must choose a domicile within Portuguese territory for the purpose of allocating and processing allowances.,"Personen, die im Ausland leben und arbeiten, müssen einen Wohnsitz innerhalb des portugiesischen Hoheitsgebiets wählen, um Zulagen zuzuweisen und zu bearbeiten."
10 Article 16 ‐ C insurance and assistance,10 Artikel 16 ‐ Versicherung und Unterstützung
1 – When Members of the Assembly of the Republic are on official missions abroad they shall be entitled to life insurance in an amount to be set by the Board of Administration of the assembly.,"1 - Wenn Mitglieder der Nationalversammlung auf offiziellen Missionen im Ausland sind, haben sie Anspruch auf eine Lebensversicherung in Höhe, die vom Verwaltungsrat der Nationalversammlung festgelegt wird."
"2 – Subject to a favourable written opinion from the Board of Administration of the Assembly,",2 - Vorbehaltlich einer günstigen schriftlichen Stellungnahme des Verwaltungsrats der Versammlung.
The Assembly of the Republic may take out an insurance policy that covers the travel risks that,"Die Versammlung der Republik kann eine Versicherung abschließen, die die Reiserisiken abdeckt."
Members run in Portugal or as may arise from missions abroad.,Mitglieder laufen in Portugal oder wie es sich aus Missionen im Ausland ergeben kann.
3 – When Members of the Assembly of the Republic are on official journeys or journeys which,"3 - Wenn Mitglieder der Nationalversammlung auf offiziellen Reisen oder Reisen sind, die"
"The Conference of leaders deems to be of parliamentary interest, the Assembly shall bear the costs of any emergency medical assistance.","Die Konferenz der Führer hält es für parlamentarisch interessant, dass die Versammlung die Kosten für jegliche Notfallmedizinische Hilfe trägt."
Article 17 use of postal and communications services revoked.,Artikel 17 Nutzung von Post- und Kommunikationsdiensten widerrufen.
Article 18,Artikel 18
Social security regime,Sozialversicherungsregime
1 – Members of the Assembly of the Republic shall enjoy the benefits of the general social security regime.,1 - Die Mitglieder der Versammlung der Republik genießen die Vorteile des allgemeinen Sozialversicherungssystems.
2 – In cases in which Members of the Assembly of the Republic opt for the social security regime,"2 - In Fällen, in denen Mitglieder der Nationalversammlung sich für das Sozialversicherungssystem entscheiden."
"Applicable to their profession, the Assembly of the Republic shall bear the costs that would otherwise be borne by the employer.","Für ihren Beruf zutreffend, trägt die Versammlung der Republik die Kosten, die normalerweise vom Arbeitgeber getragen würden."
Article 19,Artikel 19
Guarantees with regard to work and social benefits,Garantien in Bezug auf Arbeits- und Sozialleistungen
1 – Members of the Assembly of the Republic may not be prejudiced in their professional,1 - Mitglieder der Nationalversammlung dürfen in ihrer beruflichen Tätigkeit nicht benachteiligt werden.
"Assignments, social benefits or permanent employment due to the fulfilment of their mandate.","Aufgaben, Sozialleistungen oder feste Anstellung aufgrund der Erfüllung ihres Mandats."
2 – Members of the Assembly of the Republic have the right to be dispensed from all,"2 - Mitglieder der Nationalversammlung haben das Recht, von allem befreit zu werden"
"Professional, public and private activities during the legislature.","Berufliche, öffentliche und private Aktivitäten während der Legislaturperiode."
"3 – Fulfilment of the mandate shall count towards length of service for all purposes, save those","3 – Die Erfüllung des Mandats zählt für alle Zwecke zur Dienstzeit, mit Ausnahme von denen."
"That presuppose the actual exercise of a profession, without prejudice to the provisions of Article 5 (4).","Das setzt die tatsächliche Ausübung eines Berufs voraus, ohne Beeinträchtigung der Bestimmungen des Artikels 5 (4)."
"4 – In the case of a function that is temporary by law or by contract, fulfilment of a Member of the Assembly of the Republic's mandate shall suspend the counting of the respective time period.","4 - Im Falle einer Funktion, die gesetzlich oder vertraglich befristet ist, wird die Erfüllung des Mandats eines Mitglieds der Nationalversammlung die Zählung des jeweiligen Zeitraums aussetzen."
Article 20 incompatibilities,Artikel 20 Unverträglichkeiten
"1 – The following positions and functions are incompatible with the exercise of the mandate of Member of the Assembly of the Republic: a) President of the Republic, member of the Government, and Representative of the","1 - Die folgenden Positionen und Funktionen sind unvereinbar mit der Ausübung des Mandats als Mitglied der Versammlung der Republik: a) Präsident der Republik, Mitglied der Regierung und Vertreter des."
Republic to an Autonomous Region;,Republik zu einer autonomen Region;
"11 b) Member of the Constitutional Court, the Supreme Court of Justice, the Supreme","11 b) Mitglied des Verfassungsgerichts, des Obersten Gerichtshofs, des Obersten Bundesgerichts"
"Administrative Court, the Court of Audit, the Supreme Judicial Council, the Supreme","Verwaltungsgericht, Rechnungshof, Oberster Justizrat, Oberstes Gericht"
"Council of the Administrative and Fiscal Courts, attorney General, and Ombudsman;","Rat der Verwaltungs- und Finanzgerichte, Generalstaatsanwalt und Ombudsmann;"
C) Member of the European Parliament;,C) Mitglied des Europäischen Parlaments;
D) Member of the self ‐ government organs of Autonomous Regions;,D) Mitglied der Selbstverwaltungsorgane der autonomen Regionen;
"E) Ambassador, unless the Member of the Assembly of the Republic is a career Diplomat;","E) Botschafter, es sei denn, das Mitglied der Versammlung der Republik ist ein Berufsdiplomat;"
F) Civil Governor and Deputy Civil Governor;,F) Zivilgouverneur und stellvertretender Zivilgouverneur;
"G) Mayor, deputy Mayor, legal substitute for the Mayor, and municipal Councillor, either","G) Bürgermeister, stellvertretender Bürgermeister, rechtlicher Vertreter des Bürgermeisters und Stadtrat."
Full ‐ or part ‐ time;,Vollzeit- oder Teilzeit-;
H) Employee of the state or another public legal person;,H) Mitarbeiter des Staates oder einer anderen öffentlich-rechtlichen Person;
I) Member of the National Electoral Commission;,Mitglied der Nationalen Wahlkommission;
J) Member of a ministerial office or legally equivalent position;,J) Mitglied eines Ministerbüros oder einer rechtlich gleichwertigen Position;
"L) Holder of a senior international office or function, if it prevents exercise of the parliamentary mandate, and employee of an international organisation or foreign state;","Inhaber eines leitenden internationalen Amtes oder einer Funktion, wenn dies die Ausübung des parlamentarischen Mandats verhindert, und Mitarbeiter einer internationalen Organisation oder eines ausländischen Staates;"
M) President and vice ‐ President of the Economic and Social Council;,Präsident und Vizepräsident des Wirtschafts- und Sozialrats;
N) Member of the Media Regulatory Body;,N) Mitglied des Medienregulierungsgremiums;
"O) Member of the board of directors of a public ‐ sector company, of a company with public capital or in which the state holds a majority stake, or of an autonomous public Institute.","O) Mitglied des Verwaltungsrats eines öffentlichen Unternehmens, eines Unternehmens mit öffentlichem Kapital oder an dem der Staat die Mehrheitsbeteiligung hält, oder eines autonomen öffentlichen Instituts."
2 – The provisions of subparagraph (h) of the previous paragraph do not encompass the exercise,2 - Die Bestimmungen des Unterabsatzes (h) des vorherigen Absatzes umfassen nicht die Ausübung.
"Without charge of higher education teaching functions, research work and other similar activities","Ohne Gebühr für Hochschullehrerfunktionen, Forschungsarbeiten und andere ähnliche Aktivitäten."
That are of important social interest and are recognised as such on a case ‐ by ‐ case basis by the Ethics Committee of the Assembly of the Republic.,"Das sind wichtige soziale Interessen, die vom Ethikkomitee der Versammlung der Republik von Fall zu Fall anerkannt werden."
3 – Without prejudice to the provisions of Article 4 (1) (a) and (2) and following implementation,3 - Unbeschadet der Bestimmungen von Artikel 4 (1) (a) und (2) und deren Umsetzung
"Of the provisions of Article 21 (7), the exercise of an incompatible position or function shall imply the loss of the Member of the Assembly of the Republic's seat.",Von den Bestimmungen des Artikels 21 (7) bedeutet die Ausübung einer unvereinbaren Position oder Funktion den Verlust des Sitzes des Mitglieds der Versammlung der Republik.
Article 21 disqualifications,Artikel 21 Ausschlussgründe
"1 – Members of the Assembly of the Republic require the Assembly's authorisation in order to be jurors, expert witnesses or witnesses.","1 - Mitglieder der Versammlung der Republik benötigen die Genehmigung der Versammlung, um Geschworene, Sachverständige oder Zeugen zu sein."
2 – Members of the Assembly of the Republic require the Assembly's authorisation in order to serve as arbiters in proceedings in which the state or any other public ‐ law legal person is a party.,"2 - Mitglieder der Versammlung der Republik benötigen die Genehmigung der Versammlung, um als Schiedsrichter in Verfahren tätig zu werden, in denen der Staat oder eine andere öffentlich-rechtliche juristische Person beteiligt ist."
3 – The authorisation referred to in paragraph (1) must be requested by the competent judge or,3 - Die Genehmigung gemäß Absatz (1) muss vom zuständigen Richter oder... beantragt werden.
