English,French
A) Travel allowances during the Assembly of the Republic's parliamentary term;,A) Indemnités de déplacement pendant la législature de l'Assemblée de la République;
"B) Allowances in support of political work throughout the national territory, in","B) Indemnités en soutien du travail politique sur tout le territoire national, en"
Accordance with Article 152 (2) of the Constitution of the Portuguese Republic; C) Travel allowances for political work in constituencies.,Conformément à l'article 152 (2) de la Constitution de la République portugaise; C) Indemnités de déplacement pour le travail politique dans les circonscriptions.
2 – The allowance provided for in Article 16 (1) (a) shall include an allowance for travel expenses,2 - L'allocation prévue à l'article 16 (1) (a) inclura une allocation pour les frais de déplacement.
And other expense allowances.,Et autres allocations de dépenses.
Its allocation shall be dependent on the submission of proof of execution.,Son allocation dépendra de la soumission d'une preuve d'exécution.
3 – The allowance provided for in Article 16 (1) (b) shall be determined as an overall annual amount and processed on a monthly basis.,3 - L'allocation prévue à l'article 16 (1) (b) sera déterminée comme un montant annuel global et traitée sur une base mensuelle.
4 – The allowance provided for in Article 16 (1) (c) shall be allocated to those Members of the assembly of the Republic with funds subject to personal income tax.,4 - L'allocation prévue à l'article 16 (1) (c) sera attribuée aux membres de l'assemblée de la République avec des fonds soumis à l'impôt sur le revenu personnel.
"Of the Assembly of the Republic, no.","De l'Assemblée de la République, n°."
5 of 7 December 2010.,5 au 7 décembre 2010.
"However, the Assembly of the Republic's certifying Entity (ECAR) was extinguished.","Cependant, l'entité de certification de l'Assemblée de la République (ECAR) a été éteinte."
"It was replaced by the Assembly of the Republic's Registration entity (ERAR) and, therefore, this order is outdated.","Il a été remplacé par l'entité d'enregistrement de l'Assemblée de la République (ERAR) et, par conséquent, cet ordre est obsolète."
"9 5 – In the following situations arising from specific parliamentary activities, Members of the","9 5 - Dans les situations suivantes découlant d'activités parlementaires spécifiques, les membres de"
Assembly of the Republic shall be entitled to allowances for travel and accommodation,L'Assemblée de la République aura droit à des allocations pour les déplacements et l'hébergement.
"Expenses, as well as other expense allowances, subject to authorisation and proof of execution: a) Travel for political work in the case of Members who are elected for the emigrant constituencies;","Dépenses, ainsi que d'autres allocations de dépenses, soumises à autorisation et preuve d'exécution: a) Voyages pour travail politique dans le cas des membres élus pour les circonscriptions d'émigrés;"
B) Travel for institutional representation of the Assembly of the Republic; C) Travel by delegations to international bodies of which the Assembly of the Republic is,B) Voyage pour la représentation institutionnelle de l'Assemblée de la République; C) Voyage des délégations auprès des organismes internationaux dont l'Assemblée de la République fait partie
"A member, and to parliamentary missions abroad.","Un membre, et participer aux missions parlementaires à l'étranger."
6 – The allowance scheme provided for in this Statute is implemented and complemented by a,6 - Le régime d'allocation prévu dans ce Statut est mis en œuvre et complété par un
"Resolution of the Assembly of the Republic and corresponds, for all legal intents and purposes,","Résolution de l'Assemblée de la République et correspond, pour tous les effets légaux,"
To a special scheme resulting from the constitutional nature of the parliamentary mandate.,À un régime spécial résultant de la nature constitutionnelle du mandat parlementaire.
7 – The resolution provided for in the foregoing paragraph also regulates the terms and,7 - La résolution prévue dans le paragraphe précédent réglemente également les termes et
Conditions governing the use of official vehicles by Members of the Assembly of the Republic,Conditions régissant l'utilisation des véhicules officiels par les membres de l'Assemblée de la République.
Due to their position or parliamentary mission.,En raison de leur poste ou mission parlementaire.
Article 16 ‐ a expense allowances,Article 16 - des indemnités de frais
1 – The expense allowances provided for in Article 16 (2) shall be those laid down in the following,1 - Les allocations de dépenses prévues à l'article 16 (2) seront celles établies dans le suivant.
"Paragraphs, without prejudice to other regulatory rules governing allowance discipline.","Paragraphes, sans préjudice des autres règles réglementaires régissant la discipline des allocations."
"2 – Members of the Assembly of the Republic residing outside the municipalities of Lisbon,","2 - Les membres de l'Assemblée de la République résidant en dehors des municipalités de Lisbonne,"
"Odivelas shall be entitled to expense allowances established for members of the Government,",Odivelas aura droit aux indemnités de frais établies pour les membres du gouvernement.
"Paid per each day of attendance of plenary sittings, committees or other meetings convened by the President of the Assembly of the Republic and two additional days per week.","Payé pour chaque jour de présence aux séances plénières, aux commissions ou à d'autres réunions convoquées par le Président de l'Assemblée de la République et deux jours supplémentaires par semaine."
"3 – Members of the Assembly of the Republic who reside in the municipalities of Lisbon, Oeiras,","3 - Les membres de l'Assemblée de la République qui résident dans les municipalités de Lisbonne, Oeiras,"
"Cascais, Loures, Sintra, Vila franca de Xira, Almada, Seixal, Barreiro, Amadora and Odivelas shall be entitled to a third of the expense allowances established in the foregoing paragraph.","Cascais, Loures, Sintra, Vila franca de Xira, Almada, Seixal, Barreiro, Amadora et Odivelas auront droit à un tiers des indemnités de dépenses établies dans le paragraphe précédent."
"Article 16 ‐ b actual residence 1 – The actual residence of a Member of the Assembly of the Republic, which is relevant for","Article 16 ‐ b résidence effective 1 - La résidence effective d'un membre de l'Assemblée de la République, qui est pertinente pour"
"Determining allowances, shall be his/her place of habitual residence in accordance with the","Déterminer les allocations, sera son lieu de résidence habituel conformément à"
Address recorded in the information contained in the citizen's card integrated circuit.,Adresse enregistrée dans les informations contenues dans le circuit intégré de la carte d'identité du citoyen.
2 – The relevant residence for the purpose of determining allowances allocated to Members,2 - La résidence pertinente pour déterminer les allocations attribuées aux membres.
"Who are elected for the emigrant constituencies, if located outside the Portuguese territory shall","Qui sont élus pour les circonscriptions d'émigrés, si situées en dehors du territoire portugais, devront"
"Be, during the whole mandate, the Member's stable residence on the date of the election, after","Être, pendant tout le mandat, la résidence stable du membre à la date de l'élection, après"
Certification by the relevant consular services.,Certification par les services consulaires compétents.
"For this purpose, determining a different domicile for personal income tax purposes is irrelevant.","À cette fin, déterminer un domicile différent pour des fins d'impôt sur le revenu personnel est sans importance."
3 – Members of the Assembly of the Republic who are elected for constituencies in Portuguese,3 - Les membres de l'Assemblée de la République qui sont élus pour des circonscriptions au Portugal
Territory and who are residing abroad must choose a domicile within Portuguese territory for the purpose of allocating and processing allowances.,Le territoire et les personnes résidant à l'étranger doivent choisir un domicile sur le territoire portugais afin d'attribuer et de traiter les allocations.
10,dix
Article 16 ‐ C,Article 16 - C
Insurance and assistance 1 – When Members of the Assembly of the Republic are on official missions abroad they shall be entitled to life insurance in an amount to be set by the Board of Administration of the assembly.,"Assurance et assistance 1 - Lorsque les membres de l'Assemblée de la République sont en mission officielle à l'étranger, ils auront droit à une assurance-vie d'un montant fixé par le Conseil d'administration de l'assemblée."
"2 – Subject to a favourable written opinion from the Board of Administration of the Assembly,","2 - Sous réserve d'un avis écrit favorable du Conseil d'administration de l'Assemblée,"
The Assembly of the Republic may take out an insurance policy that covers the travel risks that,L'Assemblée de la République peut souscrire une police d'assurance qui couvre les risques liés aux déplacements.
Members run in Portugal or as may arise from missions abroad.,Les membres travaillent au Portugal ou peuvent être envoyés en missions à l'étranger.
3 – When Members of the Assembly of the Republic are on official journeys or journeys which,3 - Lorsque les membres de l'Assemblée de la République sont en déplacement officiel ou en voyage officiel
"The Conference of leaders deems to be of parliamentary interest, the Assembly shall bear the costs of any emergency medical assistance.","La Conférence des chefs estime qu'il est d'intérêt parlementaire, l'Assemblée assumera les coûts de toute assistance médicale d'urgence."
Article 17,Article 17
Use of postal and communications services revoked.,Utilisation des services postaux et de communication révoquée.
Article 18,Article 18
Social security regime 1 – Members of the Assembly of the Republic shall enjoy the benefits of the general social security regime.,Régime de sécurité sociale 1 - Les membres de l'Assemblée de la République bénéficieront des avantages du régime général de sécurité sociale.
"2 – In cases in which Members of the Assembly of the Republic opt for the social security regime applicable to their profession, the Assembly of the Republic shall bear the costs that would otherwise be borne by the employer.","2 - Dans les cas où les membres de l'Assemblée de la République optent pour le régime de sécurité sociale applicable à leur profession, l'Assemblée de la République supportera les coûts qui seraient normalement supportés par l'employeur."
Article 19,Article 19
Guarantees with regard to work and social benefits,Garanties en matière de travail et de prestations sociales
"1 – In the exercise of their functions and because of them, Members of the Assembly of the Republic have the right to the following allowances:","1 - Dans l'exercice de leurs fonctions et en raison de celles-ci, les membres de l'Assemblée de la République ont droit aux allocations suivantes:"
A) Travel allowances during the Assembly of the Republic's parliamentary term;,A) Indemnités de déplacement pendant le mandat parlementaire de l'Assemblée de la République;
"B) Allowances in support of political work throughout the national territory, in","B) Indemnités en soutien du travail politique sur l'ensemble du territoire national, en"
Accordance with Article 152 (2) of the Constitution of the Portuguese Republic;,Conformément à l'article 152 (2) de la Constitution de la République portugaise;
C) Travel allowances for political work in constituencies.,C) Indemnités de déplacement pour le travail politique dans les circonscriptions.
2 – The allowance provided for in Article 16 (1) (a) shall include an allowance for travel expenses,2 - L'allocation prévue à l'article 16 (1) (a) comprendra une allocation pour frais de déplacement.
And other expense allowances.,Et d'autres allocations de dépenses.
Its allocation shall be dependent on the submission of proof of execution.,Son attribution dépendra de la soumission de la preuve d'exécution.
3 – The allowance provided for in Article 16 (1) (b) shall be determined as an overall annual amount and processed on a monthly basis.,3 - L'allocation prévue à l'article 16 (1) (b) sera déterminée sous forme de montant annuel global et traitée sur une base mensuelle.
4 – The allowance provided for in Article 16 (1) (c) shall be allocated to those Members of the assembly of the Republic with funds subject to personal income tax.,4 - L'allocation prévue à l'article 16 (1) (c) sera allouée aux membres de l'assemblée de la République avec des fonds soumis à l'impôt sur le revenu.
"Of the Assembly of the Republic, no.","De l'Assemblée de la République, non."
5 of 7 December 2010.,5 au 7 décembre 2010.
"However, the Assembly of the Republic's certifying Entity (ECAR) was extinguished.","Cependant, l'Entité de certification de l'Assemblée de la République (ECAR) a été éteinte."
"It was replaced by the Assembly of the Republic's Registration entity (ERAR) and, therefore, this order is outdated.","Il a été remplacé par l'entité d'Enregistrement de l'Assemblée de la République (ERAR) et, par conséquent, cet ordre est obsolète."
9,neuf
"5 – In the following situations arising from specific parliamentary activities, Members of the","5 - Dans les situations suivantes découlant d'activités parlementaires spécifiques, les membres de"
Assembly of the Republic shall be entitled to allowances for travel and accommodation,L'Assemblée de la République aura droit à des indemnités pour les déplacements et l'hébergement.
"Expenses, as well as other expense allowances, subject to authorisation and proof of execution: a) Travel for political work in the case of Members who are elected for the emigrant constituencies;","Dépenses, ainsi que d'autres allocations de dépenses, soumises à autorisation et preuve d'exécution : a) Voyages pour le travail politique dans le cas des membres élus pour les circonscriptions de migrants ;"
B) Travel for institutional representation of the Assembly of the Republic;,B) Voyage pour la représentation institutionnelle de l'Assemblée de la République;
"C) Travel by delegations to international bodies of which the Assembly of the Republic is a member, and to parliamentary missions abroad.","C) Voyage des délégations auprès des organes internationaux dont l'Assemblée de la République est membre, et des missions parlementaires à l'étranger."
6 – The allowance scheme provided for in this Statute is implemented and complemented by a,6 - Le régime d'allocation prévu dans ce statut est mis en œuvre et complété par un
"Resolution of the Assembly of the Republic and corresponds, for all legal intents and purposes,","Résolution de l'Assemblée de la République et correspond, pour tous les effets légaux et intents,"
7 – The resolution provided for in the foregoing paragraph also regulates the terms and conditions governing the use of official vehicles by Members of the Assembly of the Republic due to their position or parliamentary mission.,7 - La résolution prévue dans le paragraphe précédent régit également les termes et conditions régissant l'utilisation des véhicules officiels par les membres de l'Assemblée de la République en raison de leur fonction ou mission parlementaire.
Article 16 ‐ a expense allowances,Article 16 - des indemnités de frais
1 – The expense allowances provided for in Article 16 (2) shall be those laid down in the following,1 - Les indemnités de dépenses prévues à l'article 16 (2) seront celles établies dans les dispositions suivantes.
"Paragraphs, without prejudice to other regulatory rules governing allowance discipline.","Paragraphes, sans préjudice des autres règles réglementaires régissant la discipline des allocations."
"2 – Members of the Assembly of the Republic residing outside the municipalities of Lisbon,","2 - Les membres de l'Assemblée de la République résidant en dehors des municipalités de Lisbonne,"
"Odivelas shall be entitled to expense allowances established for members of the Government,",Odivelas aura droit aux indemnités de frais établies pour les membres du gouvernement.
"Paid per each day of attendance of plenary sittings, committees or other meetings convened by the President of the Assembly of the Republic and two additional days per week.","Payé pour chaque jour de présence aux séances plénières, comités ou autres réunions convoquées par le Président de l'Assemblée de la République et deux jours supplémentaires par semaine."
"3 – Members of the Assembly of the Republic who reside in the municipalities of Lisbon, Oeiras,","3 - Les membres de l'Assemblée de la République qui résident dans les municipalités de Lisbonne, Oeiras,"
"Cascais, Loures, Sintra, Vila franca de Xira, Almada, Seixal, Barreiro, Amadora and Odivelas shall be entitled to a third of the expense allowances established in the foregoing paragraph.","Cascais, Loures, Sintra, Vila Franca de Xira, Almada, Seixal, Barreiro, Amadora et Odivelas auront droit à un tiers des indemnités de frais établies dans le paragraphe précédent."
Article 16 ‐ b actual residence,Article 16 - résidence actuelle
"1 – The actual residence of a Member of the Assembly of the Republic, which is relevant for","1 - La résidence actuelle d'un membre de l'Assemblée de la République, qui est pertinente pour"
"Determining allowances, shall be his/her place of habitual residence in accordance with the","Déterminer les allocations, sera son lieu de résidence habituelle conformément à la"
Address recorded in the information contained in the citizen's card integrated circuit.,Adresse enregistrée dans les informations contenues dans le circuit intégré de la carte d'identité du citoyen.
2 – The relevant residence for the purpose of determining allowances allocated to Members,2 - La résidence pertinente aux fins de déterminer les allocations allouées aux membres.
"Who are elected for the emigrant constituencies, if located outside the Portuguese territory shall be, during the whole mandate, the Member's stable residence on the date of the election, after certification by the relevant consular services.","Les personnes élues pour les circonscriptions d'émigrants, si situées en dehors du territoire portugais, devront résider de manière permanente à l'adresse du député à la date de l'élection, après certification par les services consulaires compétents."
"For this purpose, determining a different domicile","À cette fin, déterminer un domicile différent"
For personal income tax purposes is irrelevant.,"Aux fins de l'impôt sur le revenu personnel, cela n'a pas d'importance."
3 – Members of the Assembly of the Republic who are elected for constituencies in Portuguese,3 - Membres de l'Assemblée de la République qui sont élus pour des circonscriptions au Portugal
Territory and who are residing abroad must choose a domicile within Portuguese territory for the purpose of allocating and processing allowances.,Le territoire et les personnes résidant à l'étranger doivent choisir un domicile sur le territoire portugais aux fins d'attribution et de traitement des allocations.
10 Article 16 ‐ C insurance and assistance,10 Article 16 - assurance et assistance
1 – When Members of the Assembly of the Republic are on official missions abroad they shall be entitled to life insurance in an amount to be set by the Board of Administration of the assembly.,"1 - Lorsque les membres de l'Assemblée de la République sont en mission officielle à l'étranger, ils auront droit à une assurance vie d'un montant fixé par le Conseil d'administration de l'assemblée."
"2 – Subject to a favourable written opinion from the Board of Administration of the Assembly,","2 - Sous réserve d'un avis écrit favorable du Conseil d'administration de l'Assemblée,"
The Assembly of the Republic may take out an insurance policy that covers the travel risks that,L'Assemblée de la République peut souscrire une assurance qui couvre les risques liés aux déplacements.
Members run in Portugal or as may arise from missions abroad.,Les membres opèrent au Portugal ou peuvent être amenés à effectuer des missions à l'étranger.
3 – When Members of the Assembly of the Republic are on official journeys or journeys which,3 - Lorsque les membres de l'Assemblée de la République sont en déplacement officiel ou en voyage qui
"The Conference of leaders deems to be of parliamentary interest, the Assembly shall bear the costs of any emergency medical assistance.","La Conférence des dirigeants considère que l'assistance médicale d'urgence est d'intérêt parlementaire, l'Assemblée assumera les coûts de toute assistance médicale d'urgence."
Article 17 use of postal and communications services revoked.,L'article 17 sur l'utilisation des services postaux et de communication est révoqué.
Article 18,Article 18
Social security regime,Régime de sécurité sociale
1 – Members of the Assembly of the Republic shall enjoy the benefits of the general social security regime.,1 - Les membres de l'Assemblée de la République bénéficieront des avantages du régime général de sécurité sociale.
2 – In cases in which Members of the Assembly of the Republic opt for the social security regime,2 - Dans les cas où les membres de l'Assemblée de la République optent pour le régime de sécurité sociale
"Applicable to their profession, the Assembly of the Republic shall bear the costs that would otherwise be borne by the employer.","Applicable à leur profession, l'Assemblée de la République prendra en charge les coûts qui seraient normalement supportés par l'employeur."
Article 19,Article 19
Guarantees with regard to work and social benefits,Garanties concernant le travail et les avantages sociaux
1 – Members of the Assembly of the Republic may not be prejudiced in their professional,1 - Les membres de l'Assemblée de la République ne peuvent pas être préjudiciables dans leur carrière professionnelle.
"Assignments, social benefits or permanent employment due to the fulfilment of their mandate.","Affectations, avantages sociaux ou emploi permanent en raison de l'accomplissement de leur mandat."
2 – Members of the Assembly of the Republic have the right to be dispensed from all,2 - Les membres de l'Assemblée de la République ont le droit d'être dispensés de tout
"Professional, public and private activities during the legislature.","Activités professionnelles, publiques et privées pendant la législature."
"3 – Fulfilment of the mandate shall count towards length of service for all purposes, save those","3 - L'accomplissement du mandat comptera pour la durée de service à toutes fins utiles, sauf celles-ci."
"That presuppose the actual exercise of a profession, without prejudice to the provisions of Article 5 (4).","Cela suppose l'exercice effectif d'une profession, sans préjudice des dispositions de l'article 5 (4)."
"4 – In the case of a function that is temporary by law or by contract, fulfilment of a Member of the Assembly of the Republic's mandate shall suspend the counting of the respective time period.","4 - Dans le cas d'une fonction temporaire par la loi ou par contrat, l'accomplissement du mandat d'un membre de l'Assemblée de la République suspendra le décompte de la période de temps respective."
Article 20 incompatibilities,Article 20 incompatibilités
"1 – The following positions and functions are incompatible with the exercise of the mandate of Member of the Assembly of the Republic: a) President of the Republic, member of the Government, and Representative of the","1 - Les positions et fonctions suivantes sont incompatibles avec l'exercice du mandat de député à l'Assemblée de la République : a) Président de la République, membre du gouvernement et Représentant de la"
Republic to an Autonomous Region;,République à une région autonome;
"11 b) Member of the Constitutional Court, the Supreme Court of Justice, the Supreme","11 b) Membre de la Cour constitutionnelle, de la Cour suprême de justice, de la Cour suprême"
"Administrative Court, the Court of Audit, the Supreme Judicial Council, the Supreme","Tribunal administratif, la Cour des comptes, le Conseil supérieur de la magistrature, la Cour suprême"
"Council of the Administrative and Fiscal Courts, attorney General, and Ombudsman;","Conseil des Tribunaux Administratifs et Fiscaux, Procureur Général et Médiateur;"
C) Member of the European Parliament;,C) Membre du Parlement européen;
D) Member of the self ‐ government organs of Autonomous Regions;,D) Membre des organes d'autogouvernement des régions autonomes;
"E) Ambassador, unless the Member of the Assembly of the Republic is a career Diplomat;","E) Ambassadeur, à moins que le membre de l'Assemblée de la République ne soit un diplomate de carrière;"
F) Civil Governor and Deputy Civil Governor;,F) Gouverneur civil et gouverneur civil adjoint;
"G) Mayor, deputy Mayor, legal substitute for the Mayor, and municipal Councillor, either","G) Maire, maire adjoint, suppléant légal du maire et conseiller municipal, que ce soit"
Full ‐ or part ‐ time;,Temps plein ou temps partiel;
H) Employee of the state or another public legal person;,Employé de l'État ou d'une autre personne morale de droit public;
I) Member of the National Electoral Commission;,Membre de la Commission électorale nationale;
J) Member of a ministerial office or legally equivalent position;,Membre d'un cabinet ministériel ou d'un poste légalement équivalent;
"L) Holder of a senior international office or function, if it prevents exercise of the parliamentary mandate, and employee of an international organisation or foreign state;","Titulaire d'une fonction internationale de haut niveau, si cela empêche l'exercice du mandat parlementaire, et employé d'une organisation internationale ou d'un État étranger;"
M) President and vice ‐ President of the Economic and Social Council;,M) Président et vice-président du Conseil économique et social;
N) Member of the Media Regulatory Body;,Membre de l'organisme de régulation des médias;
"O) Member of the board of directors of a public ‐ sector company, of a company with public capital or in which the state holds a majority stake, or of an autonomous public Institute.","Membre du conseil d'administration d'une entreprise du secteur public, d'une entreprise à capital public ou dans laquelle l'État détient une participation majoritaire, ou d'un institut public autonome."
2 – The provisions of subparagraph (h) of the previous paragraph do not encompass the exercise,2 - Les dispositions du sous-alinéa (h) du paragraphe précédent ne concernent pas l'exercice
"Without charge of higher education teaching functions, research work and other similar activities","Sans frais de fonctions d'enseignement supérieur, de recherche et d'autres activités similaires"
That are of important social interest and are recognised as such on a case ‐ by ‐ case basis by the Ethics Committee of the Assembly of the Republic.,Ces questions revêtent un intérêt social important et sont reconnues comme telles au cas par cas par le Comité d'éthique de l'Assemblée de la République.
3 – Without prejudice to the provisions of Article 4 (1) (a) and (2) and following implementation,3 - Sans préjudice des dispositions de l'article 4 (1) (a) et (2) et de leur mise en œuvre ultérieure.
"Of the provisions of Article 21 (7), the exercise of an incompatible position or function shall imply the loss of the Member of the Assembly of the Republic's seat.","Des dispositions de l'article 21 (7), l'exercice d'une position ou fonction incompatible entraînera la perte du siège du membre de l'Assemblée de la République."
Article 21 disqualifications,"Article 21 disqualifications

Article 21 disqualifications"
"1 – Members of the Assembly of the Republic require the Assembly's authorisation in order to be jurors, expert witnesses or witnesses.","1 - Les membres de l'Assemblée de la République ont besoin de l'autorisation de l'Assemblée pour être jurés, experts ou témoins."
2 – Members of the Assembly of the Republic require the Assembly's authorisation in order to serve as arbiters in proceedings in which the state or any other public ‐ law legal person is a party.,2 - Les membres de l'Assemblée de la République doivent obtenir l'autorisation de l'Assemblée pour agir en tant qu'arbitres dans des procédures où l'État ou toute autre personne morale de droit public est partie.
3 – The authorisation referred to in paragraph (1) must be requested by the competent judge or,3 - L'autorisation mentionnée au paragraphe (1) doit être demandée par le juge compétent ou
"By the official responsible for the committal proceedings, in the form of a document addressed to the President of the Assembly of the Republic, and the Member in question shall be heard prior to the decision as to whether to grant the authorisation.","Par le responsable officiel des procédures de mise en accusation, sous forme d'un document adressé au Président de l'Assemblée de la République, et le membre concerné sera entendu avant la décision d'accorder l'autorisation."
"4 – Members of the Assembly of the Republic may exercise other activities, on condition that","4 - Les membres de l'Assemblée de la République peuvent exercer d'autres activités, à condition que"
"They are not excluded by the provisions of the following paragraphs, and they must notify the constitutional Court of the nature and details thereof.","Ils ne sont pas exclus par les dispositions des paragraphes suivants, et ils doivent notifier à la Cour constitutionnelle la nature et les détails de ceux-ci."
5 – Without prejudice to the provisions of the regimes governing incompatibilities and,5 - Sans préjudice des dispositions des régimes régissant les incompatibilités et
"Disqualifications set out in special laws, particularly with regard to the exercise of positions or","Disqualifications énoncées dans des lois spéciales, en particulier en ce qui concerne l'exercice de fonctions ou"
"Professional activities, the following situations shall also preclude the exercise of the mandate of Member of the Assembly of the Republic: 12",Les activités professionnelles suivantes empêcheront également l'exercice du mandat de membre de l'Assemblée de la République : 12
"A) Holding a position as member of a corporate organ of a public legal person, or of a","B) Exercice d'un poste de membre d'un organe d'entreprise d'une personne morale de droit public, ou d'une"
"Company whose capital is wholly or majority held by the public sector, or of a company that holds a public service concession, with the exception of a consultative, scientific or","Entreprise dont le capital est entièrement ou majoritairement détenu par le secteur public, ou d'une entreprise détenant une concession de service public, à l'exception d'une entreprise consultative, scientifique ou"
Pedagogical organ or one that forms part of the autonomous institutional,Organe pédagogique ou faisant partie de l'institution autonome
Administration;,Administration;
B) Serving as a paid expert or arbiter in any proceedings in which the state or other,B) Servir en tant qu'expert rémunéré ou arbitre dans toute procédure dans laquelle l'État ou tout autre entité est partie.
Public ‐ law legal persons are a party;,Les personnes morales de droit public sont une partie;
"C) Holding a government appointment, acceptance of which has not been authorised by","C) Occupant un poste gouvernemental, dont l'acceptation n'a pas été autorisée par"
The parliamentary committee with competence for the matter in question.,Le comité parlementaire compétent pour la question en question.
"6 – Without prejudice to the provisions of special laws, Members of the Assembly of the Republic are also precluded from accumulating the following activities with that of Member:","6 - Sans préjudice des dispositions des lois spéciales, les membres de l'Assemblée de la République sont également empêchés de cumuler les activités suivantes avec celle de membre :"
"A) In the case of the direct or indirect exercise of commercial or industrial activities, with a spouse from whom the Member of the Assembly of the Republic is not judicially","Dans le cas de l'exercice direct ou indirect d'activités commerciales ou industrielles, avec un conjoint à l'égard duquel le député de l'Assemblée de la République n'est pas judiciairement lié."
"Separated from bed and board, or for or on his own behalf or that of an entity in which","Séparé de corps et de biens, ou pour son propre compte ou celui d'une entité dans laquelle"
